BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PCwisePC10,PCwisePC20
1,7,3,dropout,0,,,,Shell,1,1
1,7,3,dropout,0,,,,Winsor,1,1
1,8,3,dropout,0,,,,Ball,1,1
1,8,3,dropout,0,,,,K's tau,1,1
1,8,3,dropout,0,,,,LR,1,1
1,8,3,dropout,0,,,,PCA,1,1
1,8,3,dropout,0,,,,PCP,1,1
1,8,3,dropout,0,,,,PcaGrid,1,1
1,8,3,dropout,0,,,,PcaHubert,1,1
1,8,3,dropout,0,,,,Quad,1,1
1,8,3,dropout,0,,,,Shell,1,1
1,8,3,dropout,0,,,,Winsor,1,1
1,9,3,dropout,0,,,,Ball,1,1
1,9,3,dropout,0,,,,K's tau,1,1
1,9,3,dropout,0,,,,LR,1,1
1,9,3,dropout,0,,,,PCA,1,1
1,9,3,dropout,0,,,,PCP,1,1
1,9,3,dropout,0,,,,PcaGrid,1,1
1,9,3,dropout,0,,,,PcaHubert,1,1
1,9,3,dropout,0,,,,Quad,1,1
1,9,3,dropout,0,,,,Shell,1,1
1,9,3,dropout,0,,,,Winsor,1,1
1,10,3,dropout,0,,,,Ball,1,1
1,10,3,dropout,0,,,,K's tau,1,1
1,10,3,dropout,0,,,,LR,1,1
1,10,3,dropout,0,,,,PCA,1,1
1,10,3,dropout,0,,,,PCP,1,1
1,10,3,dropout,0,,,,PcaGrid,1,1
1,10,3,dropout,0,,,,PcaHubert,1,1
1,10,3,dropout,0,,,,Quad,1,1
1,10,3,dropout,0,,,,Shell,1,1
1,10,3,dropout,0,,,,Winsor,1,1
1,1,4,dropout,1,,,,Ball,0.369360204846425,0.197877582219976
1,1,4,dropout,1,,,,K's tau,0.374181262743624,0.199903066948425
1,1,4,dropout,1,,,,LR,0.372857182511959,0.195195995361944
1,1,4,dropout,1,,,,PCA,0.367765701711803,0.198896318606459
1,1,4,dropout,1,,,,PCP,0.369587763646007,0.196751829146396
1,1,4,dropout,1,,,,PcaGrid,0.000845451808500818,0.000722451519269412
1,1,4,dropout,1,,,,PcaHubert,0.332093138793614,0.183861287570534
1,1,4,dropout,1,,,,Quad,0.367734575667156,0.194364616308047
1,1,4,dropout,1,,,,Shell,0.367843306051554,0.194451386043454
1,1,4,dropout,1,,,,Winsor,0.365359555037489,0.19532113069447
1,2,4,dropout,1,,,,Ball,0.381972549287515,0.200711793827923
1,2,4,dropout,1,,,,K's tau,0.391431703886486,0.205392114641684
1,2,4,dropout,1,,,,LR,0.38225009475063,0.200888678353638
1,2,4,dropout,1,,,,PCA,0.373560042261184,0.194781795750465
1,2,4,dropout,1,,,,PCP,0.392913759256392,0.213189463686771
1,2,4,dropout,1,,,,PcaGrid,0.00136643024272131,0.00186903499104281
1,2,4,dropout,1,,,,PcaHubert,0.354949926640895,0.190102652045821
